FECHA,TMAX,TMIN,NOMBRE
2025-08-11,18.7,9.6,AEROPARQUE AERO
2025-08-11,17.9,4.6,AZUL AERO
2025-08-11,23.1,4.7,BAHIA BLANCA AERO
2025-08-11,10.8,7.2,BARILOCHE AERO
2025-08-11,-11,-14.6,BASE BELGRANO II
2025-08-11,1,-1.1,BASE CARLINI (EX JUBANY)
2025-08-11,0.7,-11.2,BASE ESPERANZA
2025-08-11,-2.6,-22.8,BASE MARAMBIO
2025-08-11,1.8,-1.8,BASE ORCADAS
2025-08-11,-1.6,-7.3,BASE SAN MARTIN
2025-08-11,18.8,7.6,BENITO JUAREZ
2025-08-11,19.2,5,BERNARDO DE IRIGOYEN AERO
2025-08-11,19.6,5.8,BOLIVAR AERO
2025-08-11,20.8,8.6,BUENOS AIRES OBSERVATORIO
2025-08-11,20.5,1.8,CAMPO DE MAYO AERO
2025-08-11,26.4,5.2,CATAMARCA AERO
2025-08-11,23,2.9,CERES AERO
2025-08-11,23.5,5.6,CHAMICAL AERO
2025-08-11,10.5,8.5,CHAPELCO AERO
2025-08-11,24.7,6.8,CHEPES
2025-08-11,23.3,4.8,CHILECITO AERO
2025-08-11,16,5.7,COMODORO RIVADAVIA AERO
2025-08-11,18.9,0,CONCORDIA AERO
2025-08-11,25.7,2.9,CORDOBA AERO
2025-08-11,25.4,4.8,CORDOBA OBSERVATORIO
2025-08-11,21,0.7,CORONEL SUAREZ AERO
2025-08-11,20.1,5.7,CORRIENTES AERO
2025-08-11,18.7,5.6,DOLORES AERO
2025-08-11,13,6.5,EL BOLSON AERO
2025-08-11,6.9,-3.6,EL CALAFATE AERO
2025-08-11,20.5,0,EL PALOMAR AERO
2025-08-11,,3,ESCUELA DE AVIACION MILITAR AERO
2025-08-11,9.2,4,ESQUEL AERO
2025-08-11,20.2,7.6,EZEIZA AERO
2025-08-11,21.1,4.8,FORMOSA AERO
2025-08-11,26,6.4,GENERAL PICO AERO
2025-08-11,11,-0.5,GOBERNADOR GREGORES AERO
2025-08-11,19.6,3.2,GUALEGUAYCHU AERO
2025-08-11,19.8,4.4,IGUAZU AERO
2025-08-11,20.4,6,ITUZAINGO
2025-08-11,22.6,0.1,JACHAL
2025-08-11,22.2,4.2,JUJUY AERO
2025-08-11,20.5,3.4,JUJUY U N
2025-08-11,21.7,4.2,JUNIN AERO
2025-08-11,17.6,2.6,LA PLATA AERO
2025-08-11,18.5,-7.8,LA QUIACA OBSERVATORIO
2025-08-11,25.3,4,LA RIOJA AERO
2025-08-11,23.3,4.4,LABOULAYE AERO
2025-08-11,19.5,6.5,LAS FLORES
2025-08-11,25,5.6,LAS LOMITAS
2025-08-11,21,0.3,MALARGUE AERO
2025-08-11,17.5,3,MAQUINCHAO
2025-08-11,19,3.6,MAR DEL PLATA AERO
2025-08-11,21.6,3.3,MARCOS JUAREZ AERO
2025-08-11,,4,MARIANO MORENO AERO
2025-08-11,23.2,4.7,MENDOZA AERO
2025-08-11,,7,MENDOZA OBSERVATORIO
